订单ID,订单日期,大区,省份,商品品类,销售渠道,客户名称,销售额,成本金额,毛利,订单量,是否退货
O100503,2023-03-04,华南,广东,自有品牌,京东自营,东方明珠商行,22716.2,16942.55,5773.65,19,否
O100504,2023-03-04,华北,天津,自有品牌,京东自营,星河零售,5188.86,3808.22,1380.64,110,否
O100505,2023-03-05,华中,湖南,进口商品,抖音小店,星河零售,8239.97,4906.13,3333.84,75,否
O100506,2023-03-05,华南,广西,出口商品,京东自营,星河零售,7700.32,4358.81,3341.51,25,否
O100507,2023-03-05,西南,重庆,自有品牌,企微私域,锦程贸易,17581.69,10286.18,7295.51,73,否
O100508,2023-03-05,华南,广西,出口商品,天猫旗舰店,海纳百川,7771.05,4670.02,3101.03,95,否
O100509,2023-03-05,华南,广西,出口商品,抖音小店,绿野仙踪生鲜,12000.93,7590.72,4410.21,40,否
O100510,2023-03-05,华中,湖北,出口商品,企微私域,星河零售,21171.39,15825.7,5345.69,18,否
O100511,2023-03-05,华北,河北,进口商品,天猫旗舰店,华创商贸,29476.82,20494.47,8982.35,105,是
O100512,2023-03-05,华中,湖南,出口商品,天猫旗舰店,云端数码,8172.95,6175.62,1997.33,70,否
O100513,2023-03-06,华北,河北,联名款,京东自营,金鼎家居,18544.09,11440.4,7103.69,60,否
O100514,2023-03-06,华中,湖北,联名款,抖音小店,云端数码,1056.32,639.01,417.31,104,是
O100515,2023-03-06,华北,天津,联名款,京东自营,南粤供应链,14505.85,9865.96,4639.89,112,否
O100516,2023-03-06,西南,重庆,进口商品,京东自营,绿野仙踪生鲜,7690.02,4697.08,2992.94,30,否
O100517,2023-03-06,华北,河北,联名款,线下门店,绿野仙踪生鲜,22133.56,12376.6,9756.96,84,否
O100518,2023-03-06,华东,浙江,自有品牌,企微私域,云端数码,18247.34,11616.84,6630.5,49,否
O100519,2023-03-06,华中,河南,进口商品,企微私域,锦程贸易,11888.59,9019.47,2869.12,67,否
O100520,2023-03-06,华南,广西,联名款,线下门店,金鼎家居,959.66,722.5,237.16,57,否
O100521,2023-03-07,华北,北京,自有品牌,京东自营,南粤供应链,5323.12,3371.19,1951.93,92,否
O100522,2023-03-07,华北,山东,自有品牌,天猫旗舰店,绿野仙踪生鲜,19711.63,13013.12,6698.51,76,否
O100523,2023-03-07,西南,四川,出口商品,天猫旗舰店,南粤供应链,16880.13,9909.64,6970.49,81,否
O100524,2023-03-07,华东,江苏,进口商品,京东自营,锦程贸易,34684.82,23198.16,11486.66,52,是
O100525,2023-03-07,华中,河南,进口商品,抖音小店,星河零售,7249.87,4998.79,2251.08,61,否
O100526,2023-03-07,华北,天津,联名款,企微私域,南粤供应链,20029.71,14796.03,5233.68,24,是
O100527,2023-03-07,华中,湖南,出口商品,抖音小店,绿野仙踪生鲜,15236.11,8621.11,6615.0,49,否
O100528,2023-03-07,华北,北京,进口商品,京东自营,云端数码,25922.54,17264.48,8658.06,54,否
O100529,2023-03-08,华中,湖北,出口商品,线下门店,金鼎家居,15315.49,11515.46,3800.03,69,否
O100530,2023-03-08,华东,上海,联名款,京东自营,金鼎家居,17313.4,9527.15,7786.25,100,否
O100531,2023-03-08,华中,湖南,自有品牌,天猫旗舰店,云端数码,12857.85,9847.02,3010.83,62,否
O100532,2023-03-08,华南,福建,进口商品,线下门店,南粤供应链,8351.2,6064.2,2287.0,117,否
O100533,2023-03-08,华南,福建,联名款,抖音小店,北辰科技,932.36,672.27,260.09,1,是
O100534,2023-03-08,华中,湖北,进口商品,线下门店,北辰科技,20932.75,13033.93,7898.82,47,否
O100535,2023-03-08,华北,山东,自有品牌,抖音小店,云端数码,11050.19,7006.9,4043.29,36,否
O100536,2023-03-08,华北,山东,联名款,京东自营,海纳百川,14330.07,9475.97,4854.1,40,是
O100537,2023-03-09,华南,福建,联名款,京东自营,星河零售,18897.1,12334.46,6562.64,90,否
O100538,2023-03-09,华东,江苏,联名款,抖音小店,云端数码,19574.27,13847.81,5726.46,7,否
O100539,2023-03-09,西南,云南,进口商品,天猫旗舰店,南粤供应链,16855.85,11597.78,5258.07,12,否
O100540,2023-03-09,华南,广东,自有品牌,天猫旗舰店,金鼎家居,1970.73,1258.1,712.63,52,是
O100541,2023-03-09,华中,湖南,进口商品,京东自营,绿野仙踪生鲜,13707.75,8175.2,5532.55,85,否
O100542,2023-03-09,华南,广东,进口商品,企微私域,云端数码,15939.23,9615.89,6323.34,22,否
O100543,2023-03-09,华南,广东,进口商品,京东自营,星河零售,29907.57,21812.33,8095.24,46,否
O100544,2023-03-09,西南,云南,出口商品,企微私域,华创商贸,18633.6,10542.55,8091.05,12,否
O100545,2023-03-10,华南,福建,自有品牌,抖音小店,锦程贸易,6276.35,4842.22,1434.13,59,否
O100546,2023-03-10,华中,湖北,自有品牌,京东自营,东方明珠商行,13050.96,8854.88,4196.08,65,否
O100547,2023-03-10,华南,广东,自有品牌,企微私域,金鼎家居,6853.42,4467.31,2386.11,49,是
O100548,2023-03-10,西南,四川,自有品牌,线下门店,绿野仙踪生鲜,22495.88,16832.89,5662.99,62,否
O100549,2023-03-10,华南,广东,联名款,京东自营,北辰科技,20163.91,13002.86,7161.05,46,否
O100550,2023-03-10,华中,湖北,自有品牌,京东自营,锦程贸易,3050.83,2150.68,900.15,106,否
O100551,2023-03-10,华东,江苏,联名款,抖音小店,海纳百川,7611.63,5190.78,2420.85,24,否
O100552,2023-03-10,西南,云南,出口商品,京东自营,北辰科技,21920.37,13098.72,8821.65,26,否
O100553,2023-03-11,华中,湖南,出口商品,天猫旗舰店,星河零售,26528.84,18714.42,7814.42,85,否
O100554,2023-03-11,华中,湖北,进口商品,线下门店,海纳百川,18984.18,12591.04,6393.14,113,是
O100555,2023-03-11,华南,广西,出口商品,企微私域,锦程贸易,10428.68,7535.13,2893.55,17,否
O100556,2023-03-11,华中,湖南,联名款,企微私域,华创商贸,12959.9,8301.53,4658.37,88,否
O100557,2023-03-11,西南,四川,联名款,抖音小店,华创商贸,1086.04,649.97,436.07,75,否
O100558,2023-03-11,华南,广西,自有品牌,京东自营,云端数码,7160.95,4382.24,2778.71,79,否
O100559,2023-03-11,华南,广东,联名款,线下门店,北辰科技,10942.05,7911.16,3030.89,47,否
O100560,2023-03-11,华南,广西,出口商品,企微私域,南粤供应链,24498.39,17339.54,7158.85,105,否
O100561,2023-03-12,华南,广东,联名款,线下门店,北辰科技,4329.42,3336.27,993.15,20,否
O100562,2023-03-12,华东,江苏,联名款,线下门店,南粤供应链,31115.74,23192.42,7923.32,67,否
O100563,2023-03-12,华南,广西,自有品牌,抖音小店,云端数码,21575.75,12103.42,9472.33,13,否
O100564,2023-03-12,华东,江苏,自有品牌,线下门店,星河零售,14608.11,9158.86,5449.25,47,否
O100565,2023-03-12,华中,河南,自有品牌,抖音小店,华创商贸,10764.61,6789.79,3974.82,87,是
O100566,2023-03-12,华北,天津,自有品牌,抖音小店,海纳百川,17091.27,11316.53,5774.74,95,否
O100567,2023-03-12,华东,安徽,自有品牌,线下门店,南粤供应链,27264.79,19012.65,8252.14,119,否
O100568,2023-03-12,西南,云南,联名款,天猫旗舰店,星河零售,5428.45,3270.59,2157.86,41,否
O100569,2023-03-13,华南,福建,联名款,抖音小店,绿野仙踪生鲜,19699.57,15088.24,4611.33,96,是
O100570,2023-03-13,华中,湖南,联名款,京东自营,南粤供应链,21471.93,12427.08,9044.85,31,否
O100571,2023-03-13,华东,江苏,出口商品,线下门店,星河零售,3890.5,2978.03,912.47,61,否
O100572,2023-03-13,华东,上海,联名款,企微私域,星河零售,4143.83,2868.21,1275.62,11,否
O100573,2023-03-13,华南,广东,出口商品,抖音小店,绿野仙踪生鲜,15960.83,9260.37,6700.46,108,否
O100574,2023-03-13,华东,上海,自有品牌,抖音小店,绿野仙踪生鲜,15132.6,11354.09,3778.51,120,否
O100575,2023-03-13,华中,湖南,出口商品,企微私域,南粤供应链,15098.11,9889.34,5208.77,96,是
O100576,2023-03-13,西南,云南,自有品牌,抖音小店,绿野仙踪生鲜,13859.97,10188.23,3671.74,57,否
O100577,2023-03-14,华南,广西,自有品牌,京东自营,锦程贸易,1055.45,707.53,347.92,98,否
O100578,2023-03-14,华南,广西,联名款,企微私域,华创商贸,17444.03,11567.91,5876.12,97,否
O100579,2023-03-14,华南,广东,联名款,抖音小店,金鼎家居,6395.41,3528.09,2867.32,48,否
O100580,2023-03-14,西南,云南,联名款,线下门店,北辰科技,4751.12,3418.61,1332.51,50,否
O100581,2023-03-14,华北,河北,进口商品,线下门店,北辰科技,15962.36,11716.22,4246.14,79,否
O100582,2023-03-14,华南,福建,自有品牌,线下门店,北辰科技,21454.26,12699.93,8754.33,38,否
O100583,2023-03-14,西南,云南,联名款,抖音小店,金鼎家居,12706.3,7925.53,4780.77,20,否
O100584,2023-03-14,华中,湖北,出口商品,天猫旗舰店,锦程贸易,8411.7,6010.12,2401.58,94,否
O100585,2023-03-15,华北,北京,出口商品,天猫旗舰店,绿野仙踪生鲜,6964.34,4503.53,2460.81,101,否
O100586,2023-03-15,华南,广西,进口商品,抖音小店,星河零售,25456.58,19573.01,5883.57,8,否
O100587,2023-03-15,西南,四川,联名款,京东自营,北辰科技,22475.92,13654.53,8821.39,49,否
O100588,2023-03-15,华东,江苏,联名款,线下门店,北辰科技,23312.98,13001.82,10311.16,59,否
O100589,2023-03-15,华中,河南,出口商品,线下门店,东方明珠商行,17290.9,10751.22,6539.68,42,否
O100590,2023-03-15,华东,上海,自有品牌,线下门店,锦程贸易,7011.39,5287.5,1723.89,111,否
O100591,2023-03-15,华东,江苏,联名款,抖音小店,华创商贸,6062.65,3719.45,2343.2,16,否
O100592,2023-03-15,华北,北京,进口商品,企微私域,绿野仙踪生鲜,20951.33,12270.11,8681.22,99,否
O100593,2023-03-16,华北,天津,联名款,天猫旗舰店,金鼎家居,10338.29,7991.7,2346.59,98,否
O100594,2023-03-16,华东,浙江,出口商品,企微私域,星河零售,4806.28,2900.66,1905.62,72,否
O100595,2023-03-16,西南,云南,出口商品,天猫旗舰店,东方明珠商行,10887.8,6325.69,4562.11,116,否
O100596,2023-03-16,西南,云南,联名款,企微私域,锦程贸易,13934.16,9234.46,4699.7,73,否
O100597,2023-03-16,华中,湖南,自有品牌,线下门店,锦程贸易,21797.42,14990.01,6807.41,111,否
O100598,2023-03-16,华北,北京,出口商品,线下门店,锦程贸易,20629.93,13916.32,6713.61,59,否
O100599,2023-03-16,华中,湖南,出口商品,天猫旗舰店,金鼎家居,24765.56,18041.31,6724.25,31,否
O100600,2023-03-16,华东,安徽,出口商品,企微私域,绿野仙踪生鲜,24163.46,14146.5,10016.96,37,否
O100601,2023-03-17,西南,云南,自有品牌,天猫旗舰店,星河零售,15480.67,8751.79,6728.88,107,否
O100602,2023-03-17,华北,北京,出口商品,天猫旗舰店,绿野仙踪生鲜,6252.69,3484.74,2767.95,83,否
O100603,2023-03-17,西南,云南,自有品牌,天猫旗舰店,海纳百川,7062.72,5050.58,2012.14,2,否
O100604,2023-03-17,西南,四川,联名款,天猫旗舰店,海纳百川,16449.69,12597.11,3852.58,54,否
O100605,2023-03-17,华东,浙江,进口商品,天猫旗舰店,锦程贸易,4633.41,2778.46,1854.95,67,否
O100606,2023-03-17,华东,江苏,联名款,京东自营,北辰科技,16917.31,10272.45,6644.86,81,否
O100607,2023-03-17,华中,河南,联名款,天猫旗舰店,金鼎家居,10882.12,7133.29,3748.83,86,否
O100608,2023-03-17,华东,江苏,出口商品,企微私域,东方明珠商行,16266.96,11406.92,4860.04,69,是
O100609,2023-03-18,西南,重庆,自有品牌,企微私域,海纳百川,21245.47,13699.91,7545.56,82,否
O100610,2023-03-18,华南,福建,出口商品,企微私域,云端数码,5977.06,4340.02,1637.04,119,否
O100611,2023-03-18,华南,广西,联名款,线下门店,华创商贸,18376.78,14261.85,4114.93,77,否
O100612,2023-03-18,华中,湖北,自有品牌,天猫旗舰店,锦程贸易,28315.7,16972.69,11343.01,41,否
O100613,2023-03-18,华南,福建,出口商品,天猫旗舰店,华创商贸,13732.09,8045.7,5686.39,34,否
O100614,2023-03-18,华中,湖北,出口商品,抖音小店,锦程贸易,3024.1,1941.33,1082.77,118,否
O100615,2023-03-18,华东,浙江,联名款,京东自营,绿野仙踪生鲜,25977.58,18407.89,7569.69,74,否
O100616,2023-03-18,华中,河南,自有品牌,天猫旗舰店,金鼎家居,11538.43,8416.45,3121.98,118,否
O100617,2023-03-19,华南,广西,联名款,天猫旗舰店,北辰科技,21727.9,16195.54,5532.36,119,否
O100618,2023-03-19,西南,四川,自有品牌,企微私域,华创商贸,8527.46,5798.08,2729.38,42,否
O100619,2023-03-19,华北,天津,进口商品,线下门店,绿野仙踪生鲜,22822.48,15571.97,7250.51,12,否
O100620,2023-03-19,西南,重庆,联名款,京东自营,南粤供应链,8935.27,5892.33,3042.94,96,否
O100621,2023-03-19,华中,湖南,自有品牌,天猫旗舰店,东方明珠商行,14885.74,10836.52,4049.22,17,否
O100622,2023-03-19,西南,云南,出口商品,线下门店,东方明珠商行,16584.41,9869.43,6714.98,79,否
O100623,2023-03-19,华北,天津,进口商品,抖音小店,东方明珠商行,10351.87,7893.84,2458.03,12,否
O100624,2023-03-19,西南,重庆,自有品牌,抖音小店,北辰科技,8561.87,5878.51,2683.36,4,否
O100625,2023-03-20,华北,河北,联名款,企微私域,南粤供应链,11459.21,8738.44,2720.77,30,否
O100626,2023-03-20,华南,广东,进口商品,天猫旗舰店,华创商贸,9220.84,6388.48,2832.36,19,否
O100627,2023-03-20,华东,浙江,进口商品,抖音小店,绿野仙踪生鲜,18304.21,11464.51,6839.7,95,否
O100628,2023-03-20,华北,天津,自有品牌,企微私域,绿野仙踪生鲜,15877.62,12356.43,3521.19,89,否
O100629,2023-03-20,西南,云南,进口商品,抖音小店,南粤供应链,2705.6,1612.97,1092.63,90,是
O100630,2023-03-20,华南,广东,联名款,天猫旗舰店,星河零售,11735.99,7187.14,4548.85,110,否
O100631,2023-03-20,华东,上海,自有品牌,线下门店,北辰科技,30638.73,20434.94,10203.79,91,否
O100632,2023-03-20,华南,广西,进口商品,京东自营,北辰科技,15498.9,10157.0,5341.9,119,否
O100633,2023-03-21,华东,江苏,自有品牌,抖音小店,绿野仙踪生鲜,12900.34,7561.03,5339.31,45,否
O100634,2023-03-21,华南,福建,自有品牌,京东自营,云端数码,7476.25,4218.57,3257.68,33,否
O100635,2023-03-21,华东,浙江,出口商品,京东自营,海纳百川,28139.55,19728.48,8411.07,12,否
O100636,2023-03-21,华中,河南,出口商品,线下门店,北辰科技,14664.14,9503.64,5160.5,40,是
O100637,2023-03-21,华南,广西,出口商品,京东自营,南粤供应链,14860.94,10511.61,4349.33,26,否
O100638,2023-03-21,华南,福建,出口商品,线下门店,南粤供应链,16680.81,11341.52,5339.29,21,否
O100639,2023-03-21,华东,上海,出口商品,抖音小店,南粤供应链,22994.16,16694.91,6299.25,113,否
O100640,2023-03-21,西南,重庆,联名款,抖音小店,南粤供应链,19654.41,11292.59,8361.82,24,否
O100641,2023-03-22,华中,河南,自有品牌,企微私域,金鼎家居,15619.16,10732.91,4886.25,30,否
O100642,2023-03-22,华南,广东,联名款,京东自营,云端数码,21276.55,13996.05,7280.5,84,否
O100643,2023-03-22,华北,山东,联名款,线下门店,南粤供应链,4763.63,2867.91,1895.72,53,否
O100644,2023-03-22,华南,广西,出口商品,京东自营,北辰科技,2400.5,1832.14,568.36,57,是
O100645,2023-03-22,西南,云南,自有品牌,线下门店,北辰科技,11146.85,8120.81,3026.04,78,否
O100646,2023-03-22,华南,广西,进口商品,企微私域,星河零售,14074.74,10418.3,3656.44,6,否
O100647,2023-03-22,华中,河南,联名款,天猫旗舰店,云端数码,11701.28,8494.97,3206.31,7,否
O100648,2023-03-22,华南,广西,联名款,抖音小店,锦程贸易,11964.6,7743.09,4221.51,79,否
O100649,2023-03-23,华中,湖北,联名款,线下门店,星河零售,18288.05,10534.46,7753.59,100,是
O100650,2023-03-23,华中,湖北,联名款,线下门店,海纳百川,11711.44,6923.12,4788.32,76,否
O100651,2023-03-23,西南,四川,自有品牌,抖音小店,南粤供应链,18184.67,10518.29,7666.38,15,否
O100652,2023-03-23,华南,广东,联名款,企微私域,金鼎家居,23784.04,15152.72,8631.32,49,否
O100653,2023-03-23,华北,河北,出口商品,京东自营,南粤供应链,5128.58,3660.63,1467.95,54,否
O100654,2023-03-23,华南,福建,联名款,抖音小店,南粤供应链,3644.81,2114.94,1529.87,26,否
O100655,2023-03-23,华中,湖南,进口商品,线下门店,绿野仙踪生鲜,25801.14,17415.91,8385.23,1,是
O100656,2023-03-23,西南,四川,出口商品,企微私域,绿野仙踪生鲜,11780.47,7676.52,4103.95,77,是
O100657,2023-03-24,华东,江苏,自有品牌,企微私域,云端数码,25808.67,15427.3,10381.37,24,否
O100658,2023-03-24,华东,浙江,进口商品,京东自营,华创商贸,25411.97,18874.57,6537.4,39,否
O100659,2023-03-24,华东,上海,进口商品,线下门店,南粤供应链,7056.47,4342.6,2713.87,85,是
O100660,2023-03-24,华中,河南,出口商品,线下门店,金鼎家居,9516.57,5312.56,4204.01,99,否
O100661,2023-03-24,华南,广西,联名款,天猫旗舰店,东方明珠商行,24389.31,13778.32,10610.99,61,否
O100662,2023-03-24,华东,浙江,自有品牌,企微私域,东方明珠商行,16870.55,11978.78,4891.77,79,否
O100663,2023-03-24,华东,上海,联名款,企微私域,锦程贸易,13918.37,10369.1,3549.27,34,否
O100664,2023-03-24,华中,河南,自有品牌,京东自营,金鼎家居,14415.75,9651.81,4763.94,81,否
O100665,2023-03-25,西南,四川,出口商品,抖音小店,北辰科技,838.26,465.67,372.59,81,否
O100666,2023-03-25,华北,山东,联名款,天猫旗舰店,海纳百川,10650.76,7832.46,2818.3,28,否
O100667,2023-03-25,华北,河北,自有品牌,天猫旗舰店,锦程贸易,9276.9,6275.81,3001.09,99,否
O100668,2023-03-25,华东,浙江,自有品牌,线下门店,金鼎家居,19633.8,10930.08,8703.72,23,否
O100669,2023-03-25,华南,广西,联名款,线下门店,华创商贸,16424.78,10852.57,5572.21,81,否
O100670,2023-03-25,华中,湖南,联名款,线下门店,华创商贸,21009.56,13001.75,8007.81,93,否
O100671,2023-03-25,华中,河南,进口商品,京东自营,金鼎家居,20866.73,15313.95,5552.78,114,否
O100672,2023-03-25,华东,江苏,自有品牌,天猫旗舰店,海纳百川,35367.64,24548.59,10819.05,108,否
O100673,2023-03-26,华中,河南,联名款,京东自营,金鼎家居,3627.64,2647.96,979.68,40,否
O100674,2023-03-26,华东,浙江,联名款,天猫旗舰店,绿野仙踪生鲜,31660.33,20119.01,11541.32,107,否
O100675,2023-03-26,华北,河北,出口商品,天猫旗舰店,海纳百川,22764.99,16593.21,6171.78,117,否
O100676,2023-03-26,西南,云南,进口商品,线下门店,云端数码,5434.42,3414.05,2020.37,62,否
O100677,2023-03-26,华南,广西,出口商品,天猫旗舰店,云端数码,19753.04,11467.13,8285.91,93,否
O100678,2023-03-26,西南,重庆,进口商品,天猫旗舰店,锦程贸易,32240.34,22826.87,9413.47,77,否
O100679,2023-03-26,华南,广西,进口商品,天猫旗舰店,云端数码,26691.35,19257.21,7434.14,3,是
O100680,2023-03-26,华南,福建,出口商品,抖音小店,北辰科技,5459.6,3350.17,2109.43,41,否
O100681,2023-03-27,华东,浙江,出口商品,京东自营,锦程贸易,4462.43,3437.89,1024.54,72,否
O100682,2023-03-27,华东,江苏,自有品牌,企微私域,海纳百川,9199.33,7055.46,2143.87,103,否
O100683,2023-03-27,华中,湖北,出口商品,天猫旗舰店,锦程贸易,17987.11,11294.29,6692.82,57,否
O100684,2023-03-27,华北,北京,联名款,天猫旗舰店,星河零售,11595.58,6607.25,4988.33,51,否
O100685,2023-03-27,华中,河南,联名款,企微私域,海纳百川,8361.06,6170.56,2190.5,92,否
O100686,2023-03-27,华东,安徽,出口商品,天猫旗舰店,绿野仙踪生鲜,4533.54,2817.1,1716.44,83,否
O100687,2023-03-27,西南,四川,出口商品,京东自营,金鼎家居,7044.88,4463.59,2581.29,24,否
O100688,2023-03-27,华南,广西,联名款,天猫旗舰店,星河零售,14148.56,8925.36,5223.2,60,否
O100689,2023-03-28,华南,广西,出口商品,企微私域,星河零售,10617.6,7583.97,3033.63,14,否
O100690,2023-03-28,华中,河南,进口商品,抖音小店,云端数码,14346.71,9839.31,4507.4,31,是
O100691,2023-03-28,华北,天津,联名款,线下门店,星河零售,9045.28,6668.19,2377.09,76,否
O100692,2023-03-28,西南,云南,自有品牌,企微私域,北辰科技,4988.67,3512.07,1476.6,95,是
O100693,2023-03-28,西南,四川,联名款,抖音小店,云端数码,3163.22,2063.68,1099.54,40,否
O100694,2023-03-28,华东,上海,联名款,抖音小店,绿野仙踪生鲜,20510.92,11571.05,8939.87,28,否
O100695,2023-03-28,华中,河南,进口商品,京东自营,南粤供应链,14114.38,8709.22,5405.16,79,是
O100696,2023-03-28,西南,四川,出口商品,抖音小店,锦程贸易,14600.69,11097.06,3503.63,39,否
O100697,2023-03-29,华南,广东,进口商品,企微私域,云端数码,12697.89,7356.37,5341.52,38,否
O100698,2023-03-29,华南,福建,进口商品,天猫旗舰店,云端数码,28513.88,18038.63,10475.25,111,否
O100699,2023-03-29,华东,江苏,联名款,企微私域,东方明珠商行,19912.73,14211.87,5700.86,52,否
O100700,2023-03-29,西南,云南,出口商品,京东自营,绿野仙踪生鲜,4165.47,2823.13,1342.34,108,否
O100701,2023-03-29,西南,四川,自有品牌,京东自营,南粤供应链,1080.79,755.61,325.18,19,否
O100702,2023-03-29,西南,四川,进口商品,京东自营,东方明珠商行,25938.84,19597.42,6341.42,90,是
O100703,2023-03-29,西南,云南,出口商品,线下门店,云端数码,11063.82,8171.92,2891.9,50,否
O100704,2023-03-29,华北,天津,联名款,企微私域,华创商贸,14786.11,11012.18,3773.93,31,否
O100705,2023-03-30,华南,广西,自有品牌,天猫旗舰店,华创商贸,16731.6,11914.96,4816.64,15,是
O100706,2023-03-30,西南,云南,进口商品,京东自营,云端数码,29523.14,22917.15,6605.99,100,否
O100707,2023-03-30,西南,云南,进口商品,企微私域,金鼎家居,3528.48,2324.08,1204.4,95,否
O100708,2023-03-30,华中,河南,自有品牌,企微私域,华创商贸,22666.76,15256.04,7410.72,2,否
O100709,2023-03-30,西南,云南,联名款,企微私域,海纳百川,10988.59,8471.47,2517.12,103,否
O100710,2023-03-30,华南,广东,进口商品,企微私域,锦程贸易,22071.26,15000.79,7070.47,8,否
O100711,2023-03-30,华中,湖北,进口商品,抖音小店,金鼎家居,1752.74,1159.43,593.31,17,否
O100712,2023-03-30,华东,浙江,自有品牌,京东自营,金鼎家居,9499.4,7098.97,2400.43,2,否
O100713,2023-03-31,华中,湖北,出口商品,线下门店,海纳百川,20349.74,12415.13,7934.61,90,否
O100714,2023-03-31,西南,四川,进口商品,抖音小店,星河零售,29051.72,19957.81,9093.91,106,否
O100715,2023-03-31,西南,重庆,联名款,京东自营,绿野仙踪生鲜,18369.18,10809.81,7559.37,74,否
O100716,2023-03-31,华东,浙江,进口商品,天猫旗舰店,南粤供应链,20750.3,13685.51,7064.79,61,否
O100717,2023-03-31,华北,山东,联名款,线下门店,锦程贸易,4312.63,3235.18,1077.45,2,否
O100718,2023-03-31,西南,重庆,自有品牌,企微私域,华创商贸,3156.22,2121.6,1034.62,46,否
O100719,2023-03-31,华中,河南,自有品牌,抖音小店,锦程贸易,7263.53,4159.12,3104.41,84,是
O100720,2023-03-31,西南,重庆,出口商品,企微私域,北辰科技,13382.85,9446.62,3936.23,24,否
O100721,2023-04-01,华中,湖北,进口商品,天猫旗舰店,华创商贸,14838.06,9953.53,4884.53,88,否
O100722,2023-04-01,华南,广东,自有品牌,抖音小店,北辰科技,1623.81,1124.43,499.38,8,是
O100723,2023-04-01,华北,北京,进口商品,天猫旗舰店,金鼎家居,5442.38,3814.95,1627.43,116,是
O100724,2023-04-01,华北,北京,出口商品,抖音小店,锦程贸易,12100.32,9260.64,2839.68,82,否
O100725,2023-04-01,华南,广西,自有品牌,抖音小店,南粤供应链,19693.7,12087.52,7606.18,8,否
O100726,2023-04-01,西南,重庆,进口商品,抖音小店,锦程贸易,6127.07,3467.69,2659.38,119,否
O100727,2023-04-01,华中,湖南,出口商品,线下门店,星河零售,4281.72,3111.97,1169.75,28,是
O100728,2023-04-01,华东,安徽,自有品牌,天猫旗舰店,华创商贸,3686.69,2512.14,1174.55,33,否
O100729,2023-04-02,华东,安徽,出口商品,天猫旗舰店,华创商贸,24269.98,14835.76,9434.22,90,否
O100730,2023-04-02,西南,云南,进口商品,企微私域,绿野仙踪生鲜,14845.17,9543.96,5301.21,94,否
O100731,2023-04-02,华中,湖北,进口商品,线下门店,绿野仙踪生鲜,4479.75,3015.41,1464.34,46,否
O100732,2023-04-02,华南,广西,进口商品,天猫旗舰店,海纳百川,18958.38,14617.15,4341.23,11,否
O100733,2023-04-02,华南,福建,出口商品,京东自营,云端数码,1751.81,1118.28,633.53,25,否
O100734,2023-04-02,西南,四川,自有品牌,线下门店,星河零售,22222.18,14460.78,7761.4,25,否
O100735,2023-04-02,华东,江苏,进口商品,企微私域,北辰科技,18959.14,10702.21,8256.93,70,否
O100736,2023-04-02,西南,云南,联名款,天猫旗舰店,华创商贸,10362.3,6504.16,3858.14,93,否
O100737,2023-04-03,西南,四川,出口商品,企微私域,绿野仙踪生鲜,23550.17,17666.07,5884.1,69,否
O100738,2023-04-03,华中,湖北,进口商品,天猫旗舰店,南粤供应链,17431.13,9663.55,7767.58,117,是
O100739,2023-04-03,华东,江苏,出口商品,天猫旗舰店,南粤供应链,23158.71,17555.98,5602.73,106,否
O100740,2023-04-03,西南,云南,出口商品,企微私域,星河零售,20590.76,11828.49,8762.27,64,是
O100741,2023-04-03,华中,湖北,进口商品,京东自营,东方明珠商行,10756.44,7984.03,2772.41,95,否
O100742,2023-04-03,华南,广东,出口商品,抖音小店,北辰科技,19294.31,13243.8,6050.51,43,否
O100743,2023-04-03,华东,浙江,出口商品,线下门店,南粤供应链,22062.95,14942.88,7120.07,57,否
O100744,2023-04-03,华中,湖北,出口商品,天猫旗舰店,金鼎家居,11387.73,6676.44,4711.29,113,否
O100745,2023-04-04,华东,上海,进口商品,京东自营,星河零售,26854.71,18437.32,8417.39,37,否
O100746,2023-04-04,西南,云南,出口商品,京东自营,南粤供应链,16283.78,10915.18,5368.6,53,否
O100747,2023-04-04,华北,北京,出口商品,线下门店,金鼎家居,23797.21,16521.31,7275.9,101,否
O100748,2023-04-04,华南,广西,进口商品,企微私域,北辰科技,6532.86,5075.5,1457.36,13,是
O100749,2023-04-04,华南,福建,出口商品,线下门店,北辰科技,7489.52,4452.93,3036.59,102,否
O100750,2023-04-04,西南,重庆,出口商品,京东自营,华创商贸,2107.47,1335.64,771.83,27,否
O100751,2023-04-04,华南,广西,联名款,天猫旗舰店,星河零售,21525.8,16418.12,5107.68,23,否
O100752,2023-04-04,华东,安徽,进口商品,天猫旗舰店,北辰科技,31494.97,21615.71,9879.26,42,否
O100753,2023-04-05,华北,河北,出口商品,天猫旗舰店,海纳百川,7259.17,4388.44,2870.73,53,否
O100754,2023-04-05,西南,四川,进口商品,线下门店,金鼎家居,15027.2,11342.72,3684.48,19,否
O100755,2023-04-05,华中,湖南,出口商品,线下门店,海纳百川,4100.99,2934.5,1166.49,81,否
O100756,2023-04-05,华南,广东,自有品牌,京东自营,华创商贸,17551.49,9894.12,7657.37,18,否
O100757,2023-04-05,西南,重庆,联名款,京东自营,海纳百川,6120.46,3781.75,2338.71,21,是
O100758,2023-04-05,华北,天津,进口商品,线下门店,云端数码,15166.76,11814.95,3351.81,76,否
O100759,2023-04-05,西南,重庆,进口商品,线下门店,北辰科技,8157.03,5301.07,2855.96,29,是
